,countryCode,population,numReferences
116,KGZ,6082700.0,0.0
164,UMI,0.0,0.0
152,SXM,40005.0,0.0
153,BES,0.0,0.0
46,CCK,0.0,0.0
194,STP,199910.0,0.0
48,COM,795601.0,0.0
49,MYT,0.0,0.0
192,VCT,109643.0,0.0
191,SPM,0.0,0.0
190,MAF,31949.0,0.0
56,CZE,10561633.0,0.0
119,LSO,2203821.0,0.0
189,LCA,178015.0,0.0
188,AIA,0.0,0.0
187,KNA,54821.0,0.0
186,SHN,0.0,0.0
63,GNQ,1221490.0,0.0
185,BLM,0.0,0.0
160,NIU,0.0,0.0
67,FRO,49117.0,0.0
69,SGS,0.0,0.0
72,ALA,0.0,0.0
178,TLS,1268671.0,0.0
177,GNB,1815698.0,0.0
174,PCN,0.0,0.0
76,ATF,0.0,0.0
163,MNP,55023.0,0.0
33,BLR,9507120.0,0.0
32,BDI,10524117.0,0.0
95,HMD,0.0,0.0
223,ARE,9269612.0,0.0
228,TUV,11097.0,0.0
227,TCA,34900.0,0.0
212,SJM,0.0,0.0
208,SSD,12230730.0,0.0
26,IOT,0.0,0.0
8,AZE,9762274.0,0.0
209,ESH,0.0,0.0
217,TJK,8734951.0,0.0
7,ATG,100963.0,0.0
226,TKM,5662544.0,0.0
139,MDA,3552000.0,0.0
240,BFA,18646433.0,0.0
220,TKL,0.0,0.0
28,VGB,30661.0,0.0
244,WLF,0.0,0.0
21,BIH,3516816.0,0.0
59,DMA,73543.0,1.0
149,ANT,0.0,1.0
235,JEY,0.0,1.0
85,KIR,114395.0,1.0
181,REU,0.0,1.0
180,QAT,2569804.0,1.0
77,DJI,942333.0,1.0
134,MRT,4301018.0,1.0
108,CIV,23695919.0,1.0
80,GMB,2038501.0,1.0
219,TGO,7606374.0,1.0
29,BRN,423196.0,1.0
150,CUW,159999.0,1.0
203,SVN,2064845.0,1.0
201,SVK,5428704.0,1.0
37,CPV,539560.0,1.0
53,HRV,4170600.0,1.0
151,ABW,104822.0,1.0
38,CYM,60765.0,1.0
92,GIN,12395924.0,1.0
213,SWZ,1343098.0,1.0
89,GLP,0.0,1.0
51,COK,0.0,1.0
96,VAT,0.0,2.0
155,VUT,270402.0,2.0
130,MDV,417492.0,2.0
126,MAC,612167.0,2.0
125,LUX,582972.0,2.0
